actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerName,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,subsInPlayerName,subsInPersonId,blockPlayerName,blockPersonId,blockTotal,value
2,PT12M00.00S,2020-02-23T20:41:22.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-02-23T20:41:22Z,20000,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2020-02-23T20:41:24.6Z,1,REGULAR,jumpball,recovered,[],202340,,,1610612747,0,0,2020-02-23T20:41:24Z,40000,,Jump Ball: McGee vs. Brown tip to Bradley,"[202340, 201580, 1627759]",1610612747.0,LAL,startperiod,Bradley,202340.0,Bradley,A. Bradley,McGee,201580.0,Brown,1627759.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2020-02-23T20:41:39.4Z,1,REGULAR,3pt,jumpshot,[],202340,22.78252299605782,8.509497549019613,1610612747,3,0,2020-02-23T20:41:44Z,70000,left,[LAL] Bradley 3pt shot: Made (3 PTS) assist: James (1 AST),"[202340, 2544]",1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,26.65,: Made,3.0,James,2544.0,1.0,,,,,,,,,,,,,,,,,,,
9,PT11M19.00S,2020-02-23T20:42:01.8Z,1,REGULAR,3pt,jumpshot,[],203935,75.73915900131406,11.940870098039213,1610612738,3,0,2020-02-23T20:42:05Z,90000,right,[BOS] Smart 3pt jumpshot: Missed,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.27,: Missed,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2020-02-23T20:42:03.8Z,1,REGULAR,rebound,defensive,[],201580,,,1610612747,3,0,2020-02-23T20:42:05Z,100000,,[LAL] McGee defensive rebound (Off:0 Def:1),[201580],1610612747.0,LAL,,,,McGee,J. McGee,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT10M54.00S,2020-02-23T20:42:26.8Z,1,REGULAR,2pt,jumpshot,[],203076,23.833771353482263,67.578125,1610612747,3,0,2020-02-23T20:42:30Z,110000,left,[LAL] Davis jumpshot: Missed,[203076],1610612747.0,LAL,fadeaway,,,Davis,A. Davis,,,,,19.76,: Missed,,,,,,,,,,,,,,,,,,,,,,,
12,PT10M52.00S,2020-02-23T20:42:28.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,0,2020-02-23T20:42:30Z,120000,,[BOS] Tatum defensive rebound (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M47.00S,2020-02-23T20:42:37.6Z,1,REGULAR,foul,personal,['2freethrow'],201580,,,1610612738,3,0,2020-02-23T20:42:42Z,130000,,[LAL] McGee foul personal (1 PF) (Tatum 2freethrow),"[201580, 1628369]",1610612747.0,LAL,shooting,,,McGee,J. McGee,,,,,,,,,,,,,,,2529.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,
15,PT10M47.00S,2020-02-23T20:42:57.8Z,1,REGULAR,freethrow,1of2,[],1628369,,,1610612738,3,1,2020-02-23T20:43:14Z,150000,,[BOS] Tatum freethrow 1of2: Made (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,: Made,1.0,,,,,,,,,,,,,,,,,,,,,,
16,PT10M47.00S,2020-02-23T20:42:57.8Z,1,REGULAR,freethrow,2of2,[],1628369,,,1610612738,3,1,2020-02-23T20:43:14Z,160000,,[BOS] Tatum freethrow 2of2: Missed,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,: Missed,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M45.00S,2020-02-23T20:42:59.8Z,1,REGULAR,rebound,defensive,[],201580,,,1610612747,3,1,2020-02-23T20:43:14Z,170000,,[LAL] McGee defensive rebound (Off:0 Def:2),[201580],1610612747.0,LAL,,,,McGee,J. McGee,,,,,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
18,PT10M31.00S,2020-02-23T20:43:27.4Z,1,REGULAR,turnover,lostball,[],203076,,,1610612747,3,1,2020-02-23T20:43:31Z,180000,,[LAL] Davis lostball turnover (1 TO) Steal: Brown (1 STL),"[203076, 1627759]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,1.0,Brown,1627759.0,1.0,,,,,,
20,PT10M19.00S,2020-02-23T20:43:39.1Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",1628369,92.42772667542707,40.86243872549019,1610612738,3,1,2020-02-23T20:43:45Z,200000,right,[BOS] Tatum jumpshot: Missed,[1628369],1610612738.0,BOS,drivingfloating,,,Tatum,J. Tatum,,,,,5.17,: Missed,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M18.00S,2020-02-23T20:43:40.1Z,1,REGULAR,rebound,defensive,[],201580,,,1610612747,3,1,2020-02-23T20:43:45Z,210000,,[LAL] McGee defensive rebound (Off:0 Def:3),[201580],1610612747.0,LAL,,,,McGee,J. McGee,,,,,,,,,,,20.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
22,PT10M14.00S,2020-02-23T20:43:44.9Z,1,REGULAR,2pt,dunk,"['fastbreak', 'pointsinthepaint']",201580,6.4881734559789805,50.17616421568628,1610612747,5,1,2020-02-23T20:44:52Z,220000,left,[LAL] McGee dunk: Made (2 PTS) assist: James (2 AST),"[201580, 2544]",1610612747.0,LAL,alleyoop,,,McGee,J. McGee,,,,,1.4,: Made,2.0,James,2544.0,2.0,,,,,,,,,,,,,,,,,,,
24,PT09M48.00S,2020-02-23T20:44:10.0Z,1,REGULAR,2pt,jumpshot,[],202330,92.82194480946123,83.50949754901961,1610612738,5,1,2020-02-23T20:59:05Z,240000,right,[BOS] Hayward jumpshot: Missed,[202330],1610612738.0,BOS,stepback,,,Hayward,G. Hayward,,,,,16.87,: Missed,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M44.00S,2020-02-23T20:44:14.0Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,5,1,2020-02-23T20:44:15Z,250000,,[BOS] Theis offensive rebound (Off:1 Def:0),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,24.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
26,PT09M44.00S,2020-02-23T20:44:14.0Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1628464,95.0,50.0,1610612738,5,1,2020-02-23T20:44:14Z,260000,right,[BOS] Theis layup: Missed,[1628464],1610612738.0,BOS,tip,,,Theis,D. Theis,,,,,0.0,: Missed,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M44.00S,2020-02-23T20:44:14.7Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,5,1,2020-02-23T20:44:14Z,270000,,[LAL] Davis defensive rebound (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
28,PT09M40.00S,2020-02-23T20:44:18.0Z,1,REGULAR,3pt,jumpshot,['fastbreak'],201980,26.856110381077528,11.940870098039213,1610612747,5,1,2020-02-23T20:47:05Z,280000,left,[LAL] Green 3pt jumpshot: Missed,[201980],1610612747.0,LAL,,,,Green,D. Green,,,,,28.0,: Missed,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M37.00S,2020-02-23T20:44:21.0Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,5,1,2020-02-23T20:44:23Z,290000,,[BOS] Theis defensive rebound (Off:1 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,28.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
30,PT09M31.00S,2020-02-23T20:44:28.2Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628464,81.91524310118265,57.77420343137255,1610612738,5,3,2020-02-23T20:47:21Z,300000,right,[BOS] Theis jumpshot: Made (2 PTS) assist: Hayward (1 AST),"[1628464, 202330]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,12.9,: Made,2.0,Hayward,202330.0,1.0,,,,,,,,,,,,,,,,,,,
32,PT09M23.00S,2020-02-23T20:44:39.3Z,1,REGULAR,foul,personal,[],203935,,,1610612747,5,3,2020-02-23T20:44:44Z,320000,,[BOS] Smart foul personal (1 PF),"[203935, 202340]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,2529.0,1.0,0.0,Bradley,202340.0,,,,,,,,,,
34,PT09M06.00S,2020-02-23T20:45:16.0Z,1,REGULAR,2pt,layup,['pointsinthepaint'],2544,7.933639947437584,50.91145833333333,1610612747,7,3,2020-02-23T20:45:19Z,340000,left,[LAL] James layup: Made (2 PTS) assist: Davis (1 AST),"[2544, 203076]",1610612747.0,LAL,cutting,,,James,L. James,,,,,2.8,: Made,2.0,Davis,203076.0,1.0,,,,,,,,,,,,,,,,,,,
36,PT08M39.00S,2020-02-23T20:45:43.3Z,1,REGULAR,3pt,jumpshot,[],202330,75.87056504599212,90.37224264705883,1610612738,7,3,2020-02-23T20:45:47Z,360000,right,[BOS] Hayward 3pt jumpshot: Missed,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,27.04,: Missed,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M36.00S,2020-02-23T20:45:46.3Z,1,REGULAR,rebound,defensive,[],202340,,,1610612747,7,3,2020-02-23T20:45:47Z,370000,,[LAL] Bradley defensive rebound (Off:0 Def:1),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
38,PT08M20.00S,2020-02-23T20:46:01.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203076,9.116294349540084,55.323223039215684,1610612747,7,3,2020-02-23T20:46:07Z,380000,left,[LAL] Davis layup: Missed,[203076],1610612747.0,LAL,driving,,,Davis,A. Davis,,,,,4.7,: Missed,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M15.00S,2020-02-23T20:46:06.7Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,7,3,2020-02-23T20:46:06Z,390000,,[LAL] Davis offensive rebound (Off:1 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,38.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
40,PT08M15.00S,2020-02-23T20:46:06.7Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",203076,5.0,50.0,1610612747,9,3,2020-02-23T20:46:06Z,400000,left,[LAL] Davis layup: Made (2 PTS),[203076],1610612747.0,LAL,putback,,,Davis,A. Davis,,,,,0.0,: Made,2.0,,,,,,,,,,,,,,,,,,,,,,
41,PT08M06.00S,2020-02-23T20:46:16.0Z,1,REGULAR,3pt,jumpshot,[],1628369,69.69448094612352,77.13694852941177,1610612738,9,3,2020-02-23T20:48:59Z,410000,right,[BOS] Tatum pullup 3pt jumpshot: Missed,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,27.39,: Missed,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M00.00S,2020-02-23T20:46:22.0Z,1,REGULAR,rebound,defensive,[],201580,,,1610612747,9,3,2020-02-23T20:47:17Z,420000,,[LAL] McGee defensive rebound (Off:0 Def:4),[201580],1610612747.0,LAL,,,,McGee,J. McGee,,,,,,,,,,,41.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
43,PT07M56.00S,2020-02-23T20:46:26.6Z,1,REGULAR,3pt,jumpshot,['fastbreak'],2544,32.90078843626807,70.76439950980392,1610612747,12,3,2020-02-23T20:46:32Z,430000,left,[LAL] James 3pt shot: Made (5 PTS),[2544],1610612747.0,LAL,running,,,James,L. James,,,,,28.21,: Made,5.0,,,,,,,,,,,,,,,,,,,,,,
44,PT07M39.00S,2020-02-23T20:46:43.7Z,1,REGULAR,3pt,jumpshot,[],1628464,68.64323258869908,32.774203431372555,1610612738,12,6,2020-02-23T20:46:48Z,440000,right,[BOS] Theis 3pt shot: Made (5 PTS) assist: Smart (1 AST),"[1628464, 203935]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,26.23,: Made,5.0,Smart,203935.0,1.0,,,,,,,,,,,,,,,,,,,
46,PT07M25.00S,2020-02-23T20:46:57.6Z,1,REGULAR,3pt,jumpshot,[],202340,26.856110381077528,83.75459558823529,1610612747,12,6,2020-02-23T20:47:01Z,460000,left,[LAL] Bradley 3pt jumpshot: Missed,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,26.59,: Missed,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M21.00S,2020-02-23T20:47:01.6Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,12,6,2020-02-23T20:47:01Z,470000,,[BOS] Smart defensive rebound (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
48,PT07M13.00S,2020-02-23T20:47:09.8Z,1,REGULAR,2pt,jumpshot,[],1627759,73.63666228646518,46.009497549019606,1610612738,12,6,2020-02-23T20:47:13Z,480000,right,[BOS] Brown jumpshot: Missed,[1627759],1610612738.0,BOS,stepback,,,Brown,J. Brown,,,,,20.18,: Missed,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M11.00S,2020-02-23T20:47:11.8Z,1,REGULAR,rebound,defensive,[],201580,,,1610612747,12,6,2020-02-23T20:47:13Z,490000,,[LAL] McGee defensive rebound (Off:0 Def:5),[201580],1610612747.0,LAL,,,,McGee,J. McGee,,,,,,,,,,,48.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
50,PT06M57.00S,2020-02-23T20:47:24.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],201580,7.933639947437584,51.15655637254902,1610612747,12,6,2020-02-23T20:47:30Z,500000,left,[LAL] McGee layup: Missed,[201580],1610612747.0,LAL,cutting,,,McGee,J. McGee,,,,,2.82,: Missed,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M55.00S,2020-02-23T20:47:27.6Z,1,REGULAR,rebound,offensive,[],201580,,,1610612747,12,6,2020-02-23T20:47:27Z,510000,,[LAL] McGee offensive rebound (Off:1 Def:5),[201580],1610612747.0,LAL,,,,McGee,J. McGee,,,,,,,,,,,50.0,6.0,5.0,1.0,,,,,,,,,,,,,,,
52,PT06M55.00S,2020-02-23T20:47:27.6Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",201580,5.0,50.0,1610612747,14,6,2020-02-23T20:47:27Z,520000,left,[LAL] McGee layup: Made (4 PTS),[201580],1610612747.0,LAL,tip,,,McGee,J. McGee,,,,,0.0,: Made,4.0,,,,,,,,,,,,,,,,,,,,,,
53,PT06M37.00S,2020-02-23T20:47:46.3Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,93.08475689881735,49.44087009803921,1610612738,14,8,2020-02-23T20:47:49Z,530000,right,[BOS] Brown layup: Made (2 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,1.82,: Made,2.0,,,,,,,,,,,,,,,,,,,,,,
54,PT06M16.00S,2020-02-23T20:48:07.5Z,1,REGULAR,3pt,jumpshot,[],2544,28.695795006570307,20.029105392156865,1610612747,14,8,2020-02-23T20:52:58Z,540000,left,[LAL] James pullup 3pt jumpshot: Missed,[2544],1610612747.0,LAL,pullup,,,James,L. James,,,,,26.84,: Missed,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M12.00S,2020-02-23T20:48:11.5Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,14,8,2020-02-23T20:52:58Z,550000,,[BOS] Hayward defensive rebound (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
56,PT06M07.00S,2020-02-23T20:48:17.3Z,1,REGULAR,2pt,jumpshot,['fastbreak'],203935,94.79303547963207,70.76439950980392,1610612738,14,10,2020-02-23T20:56:44Z,552500,right,[BOS] Smart jumpshot: Made (2 PTS) assist: Hayward (2 AST),"[203935, 202330]",1610612738.0,BOS,floating,,,Smart,M. Smart,,,,,10.38,: Made,2.0,Hayward,202330.0,2.0,,,,,,,,,,,,,,,,,,,
66,PT06M05.00S,2020-02-23T20:48:23.1Z,1,REGULAR,substitution,out,[],1628369,,,1610612747,14,10,2020-02-23T20:56:44Z,557500,,[BOS] substitution Tatum replaced by Ojeleye,"[1628369, 1628400]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,Ojeleye,1628400.0,,,,
58,PT06M05.00S,2020-02-23T20:48:23.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,14,10,2020-02-23T20:56:44Z,580000,,[LAL] timeout full,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT05M49.00S,2020-02-23T20:52:10.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203076,7.276609724047319,49.19577205882353,1610612747,16,10,2020-02-23T20:52:15Z,630000,left,[LAL] Davis layup: Made (4 PTS) assist: James (3 AST),"[203076, 2544]",1610612747.0,LAL,driving,,,Davis,A. Davis,,,,,2.18,: Made,4.0,James,2544.0,3.0,,,,,,,,,,,,,,,,,,,
65,PT05M30.00S,2020-02-23T20:52:30.3Z,1,REGULAR,2pt,jumpshot,[],202330,77.973061760841,22.970281862745097,1610612738,16,12,2020-02-23T20:54:10Z,650000,right,[BOS] Hayward jumpshot: Made (2 PTS),[202330],1610612738.0,BOS,pullup,,,Hayward,G. Hayward,,,,,20.95,: Made,2.0,,,,,,,,,,,,,,,,,,,,,,
67,PT05M14.00S,2020-02-23T20:52:47.0Z,1,REGULAR,2pt,jumpshot,[],203076,25.147831800262807,74.19577205882354,1610612747,16,12,2020-02-23T20:52:51Z,660000,left,[LAL] Davis jumpshot: Missed,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,22.48,: Missed,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M12.00S,2020-02-23T20:52:49.0Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612738,16,12,2020-02-23T20:52:51Z,670000,,[BOS] Ojeleye defensive rebound (Off:0 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,67.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
69,PT05M08.00S,2020-02-23T20:52:52.6Z,1,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint']",1627759,93.08475689881735,50.666360294117645,1610612738,16,14,2020-02-23T20:54:35Z,680000,right,[BOS] Brown layup: Made (4 PTS) assist: Ojeleye (1 AST),"[1627759, 1628400]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,1.83,: Made,4.0,Ojeleye,1628400.0,1.0,,,,,,,,,,,,,,,,,,,
71,PT04M53.00S,2020-02-23T20:53:07.9Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202340,15.160972404730614,48.705575980392155,1610612747,16,14,2020-02-23T20:54:55Z,700000,left,[LAL] Bradley jumpshot: Missed,[202340],1610612747.0,LAL,floating,,,Bradley,A. Bradley,,,,,9.57,: Missed,,,,,,,,,,,,,,,,,,,,,,,
72,PT04M50.00S,2020-02-23T20:53:10.9Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,16,14,2020-02-23T20:53:12Z,710000,,[BOS] Smart defensive rebound (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,71.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
73,PT04M44.00S,2020-02-23T20:53:16.0Z,1,REGULAR,3pt,jumpshot,['fastbreak'],202330,76.00197109067017,12.921262254901961,1610612738,16,14,2020-02-23T20:55:15Z,720000,right,[BOS] Hayward 3pt jumpshot: Missed,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,25.74,: Missed,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M42.00S,2020-02-23T20:53:18.0Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,16,14,2020-02-23T20:55:15Z,730000,,[LAL] Davis defensive rebound (Off:1 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,73.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
75,PT04M30.00S,2020-02-23T20:53:30.7Z,1,REGULAR,2pt,jumpshot,[],2544,18.183311432325894,23.215379901960787,1610612747,16,14,2020-02-23T20:55:42Z,740000,left,[LAL] James jumpshot: Missed,[2544],1610612747.0,LAL,pullup,,,James,L. James,,,,,18.24,: Missed,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M28.00S,2020-02-23T20:53:32.7Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,16,14,2020-02-23T20:53:34Z,750000,,[BOS] Hayward defensive rebound (Off:0 Def:2),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,75.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
77,PT04M23.00S,2020-02-23T20:53:38.0Z,1,REGULAR,3pt,jumpshot,['fastbreak'],1627759,72.19119579500656,85.22518382352942,1610612738,16,14,2020-02-23T20:55:53Z,760000,right,[BOS] Brown 3pt jumpshot: Missed,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,27.75,: Missed,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M19.00S,2020-02-23T20:53:42.0Z,1,REGULAR,rebound,defensive,[],201580,,,1610612747,16,14,2020-02-23T20:53:46Z,770000,,[LAL] McGee defensive rebound (Off:1 Def:6),[201580],1610612747.0,LAL,,,,McGee,J. McGee,,,,,,,,,,,77.0,7.0,6.0,1.0,,,,,,,,,,,,,,,
79,PT04M19.00S,2020-02-23T20:53:45.0Z,1,REGULAR,foul,personal,[],1627759,,,1610612747,16,14,2020-02-23T20:53:53Z,780000,,[BOS] Brown foul personal (1 PF),"[1627759, 203076]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,2529.0,1.0,0.0,Davis,203076.0,,,,,,,,,,
81,PT04M19.00S,2020-02-23T20:53:52.9Z,1,REGULAR,substitution,out,[],2544,,,1610612747,16,14,2020-02-23T20:54:14Z,800000,,[LAL] substitution James replaced by Kuzma,"[2544, 1628398]",1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,Kuzma,1628398.0,,,,
82,PT04M19.00S,2020-02-23T20:53:52.9Z,1,REGULAR,substitution,out,[],201580,,,1610612747,16,14,2020-02-23T20:54:14Z,810000,,[LAL] substitution McGee replaced by Caldwell-Pope,"[201580, 203484]",1610612747.0,LAL,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,Caldwell-Pope,203484.0,,,,
83,PT04M19.00S,2020-02-23T20:53:52.9Z,1,REGULAR,substitution,out,[],201980,,,1610612747,16,14,2020-02-23T20:54:14Z,820000,,[LAL] substitution Green replaced by Rondo,"[201980, 200765]",1610612747.0,LAL,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,Rondo,200765.0,,,,
87,PT04M12.00S,2020-02-23T20:54:29.2Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628398,13.584099868593952,63.90165441176471,1610612747,18,14,2020-02-23T20:54:33Z,860000,left,[LAL] Kuzma jumpshot: Made (2 PTS),[1628398],1610612747.0,LAL,turnaround,,,Kuzma,K. Kuzma,,,,,10.65,: Made,2.0,,,,,,,,,,,,,,,,,,,,,,
88,PT03M48.00S,2020-02-23T20:54:53.1Z,1,REGULAR,3pt,jumpshot,[],203935,68.9060446780552,76.15655637254902,1610612738,18,17,2020-02-23T20:54:57Z,870000,right,[BOS] Smart 3pt shot: Made (5 PTS) assist: Brown (1 AST),"[203935, 1627759]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,27.8,: Made,5.0,Brown,1627759.0,1.0,,,,,,,,,,,,,,,,,,,
90,PT03M40.00S,2020-02-23T20:55:00.6Z,1,REGULAR,3pt,jumpshot,['fastbreak'],1628398,8.722076215505908,95.76439950980392,1610612747,18,17,2020-02-23T20:55:05Z,890000,left,[LAL] Kuzma 3pt jumpshot: Missed,[1628398],1610612747.0,LAL,,,,Kuzma,K. Kuzma,,,,,23.15,: Missed,,,,,,,,,,,,,,,,,,,,,,,
91,PT03M37.00S,2020-02-23T20:55:03.6Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,18,17,2020-02-23T20:55:05Z,900000,,[BOS] Hayward defensive rebound (Off:0 Def:3),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,90.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
92,PT03M27.00S,2020-02-23T20:55:14.0Z,1,REGULAR,3pt,jumpshot,[],1627759,92.0335085413929,5.078125,1610612738,18,17,2020-02-23T20:55:17Z,910000,right,[BOS] Brown 3pt jumpshot: Missed,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,22.63,: Missed,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M24.00S,2020-02-23T20:55:17.0Z,1,REGULAR,rebound,defensive,[],202340,,,1610612747,18,17,2020-02-23T20:55:17Z,920000,,[LAL] Bradley defensive rebound (Off:0 Def:2),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,92.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
94,PT03M18.00S,2020-02-23T20:55:22.9Z,1,REGULAR,3pt,jumpshot,[],203076,33.295006570302235,47.970281862745104,1610612747,18,17,2020-02-23T20:55:27Z,930000,left,[LAL] Davis 3pt jumpshot: Missed,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,26.62,: Missed,,,,,,,,,,,,,,,,,,,,,,,
95,PT03M15.00S,2020-02-23T20:55:25.9Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,18,17,2020-02-23T20:55:27Z,940000,,[BOS] Hayward defensive rebound (Off:0 Def:4),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,94.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
96,PT03M06.00S,2020-02-23T20:55:35.2Z,1,REGULAR,2pt,jumpshot,[],1627759,85.85742444152432,75.91145833333334,1610612738,18,17,2020-02-23T20:55:39Z,950000,right,[BOS] Brown jumpshot: Missed,[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,15.55,: Missed,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M03.00S,2020-02-23T20:55:38.2Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,18,17,2020-02-23T20:55:39Z,960000,,[LAL] Davis defensive rebound (Off:1 Def:3),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,96.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
